achieved_angle_ratio,aperture_ratio,branch,delta_per_aperture_um_condenser_lens_2,delta_per_aperture_um_condenser_lens_3,delta_per_decade_diffraction_lens,delta_per_decade_intermediate_lens,delta_per_decade_objective_lens,delta_per_decade_projector_lens_1,delta_per_decade_projector_lens_2,delta_per_mrad_condenser_lens_2,delta_per_mrad_condenser_lens_3,local_slope_mrad_per_um,log10_span,lower_aperture_diameter_um,lower_target,lower_target_mrad,ratio_condenser_lens_2,ratio_condenser_lens_3,ratio_diffraction_lens,ratio_intermediate_lens,ratio_objective_lens,ratio_projector_lens_1,ratio_projector_lens_2,table,target_ratio,upper_aperture_diameter_um,upper_target,upper_target_mrad
1.875947462608616,2.0,,,,,,,,,,,0.2931793105887854,,10.0,,,,,,,,,,nanoprobe_aperture_scaling,,20.0,,
1.5195789395347237,1.5,,,,,,,,,,,0.3262326853502476,,20.0,,,,,,,,,,nanoprobe_aperture_scaling,,30.0,,
1.3382574043814113,1.3333333333333333,,,,,,,,,,,0.32273532939966876,,30.0,,,,,,,,,,nanoprobe_aperture_scaling,,40.0,,
1.2647006341602072,1.25,,,,,,,,,,,0.3379822045314249,,40.0,,,,,,,,,,nanoprobe_aperture_scaling,,50.0,,
1.1581907214665639,1.2,,,,,,,,,,,0.25545099326812026,,50.0,,,,,,,,,,nanoprobe_aperture_scaling,,60.0,,
1.167495592972311,1.1666666666666667,,,,,,,,,,,0.3132636868985987,,60.0,,,,,,,,,,nanoprobe_aperture_scaling,,70.0,,
1.1359314970279561,1.1428571428571428,,,,,,,,,,,0.29681238594374226,,70.0,,,,,,,,,,nanoprobe_aperture_scaling,,80.0,,
1.1370508392426504,1.125,,,,,,,,,,,0.3399349053569555,,80.0,,,,,,,,,,nanoprobe_aperture_scaling,,90.0,,
1.076929508772167,1.1111111111111112,,,,,,,,,,,0.21696361299294048,,90.0,,,,,,,,,,nanoprobe_aperture_scaling,,100.0,,
1.1292637131119965,1.1,,,,,,,,,,,0.3926068287162668,,100.0,,,,,,,,,,nanoprobe_aperture_scaling,,110.0,,
1.0815817719544005,1.0909090909090908,,,,,,,,,,,0.27981418645277356,,110.0,,,,,,,,,,nanoprobe_aperture_scaling,,120.0,,
1.0576408564683686,1.0833333333333333,,,,,,,,,,,0.21382888924476334,,120.0,,,,,,,,,,nanoprobe_aperture_scaling,,130.0,,
1.073230957098346,1.0769230769230769,,,,,,,,,,,0.28732200219196713,,130.0,,,,,,,,,,nanoprobe_aperture_scaling,,140.0,,
1.0744116317567396,1.0714285714285714,,,,,,,,,,,0.3133344837510947,,140.0,,,,,,,,,,nanoprobe_aperture_scaling,,150.0,,
1.048512003229663,1.0666666666666667,,,,,,,,,,,0.2194761206271984,,150.0,,,,,,,,,,nanoprobe_aperture_scaling,,160.0,,
1.069649704299488,1.0625,,,,,,,,,,,0.3303929336438124,,160.0,,,,,,,,,,nanoprobe_aperture_scaling,,170.0,,
1.0450049133226642,1.0588235294117647,,,,,,,,,,,0.2283562898244938,,170.0,,,,,,,,,,nanoprobe_aperture_scaling,,180.0,,
1.056207229748038,1.0555555555555556,,,,,,,,,,,0.29803245624208186,,180.0,,,,,,,,,,nanoprobe_aperture_scaling,,190.0,,
1.0744260925883622,1.0526315789473684,,,,,,,,,,,0.41681729980225624,,190.0,,,,,,,,,,nanoprobe_aperture_scaling,,200.0,,
2.068734539024309,2.0,,0.0,0.0,,,,,,0.0,0.0,,,10.0,,3.0,1.0,1.0,,,,,,nanoprobe_solved_continuation,2.0,20.0,,6.0
1.8889161710312885,2.0,,0.0,0.0,,,,,,0.0,0.0,,,20.0,,6.0,1.0,1.0,,,,,,nanoprobe_solved_continuation,2.0,40.0,,12.0
1.5687221329078325,1.5,,0.0,0.0,,,,,,0.0,0.0,,,40.0,,12.0,1.0,1.0,,,,,,nanoprobe_solved_continuation,1.5,60.0,,18.0
1.3384397404575785,1.3333333333333333,,0.0,0.0,,,,,,0.0,0.0,,,60.0,,18.0,1.0,1.0,,,,,,nanoprobe_solved_continuation,1.3333333333333333,80.0,,24.0
1.2424427106775782,1.25,,-0.011261172129080422,0.00034416382218473986,,,,,,-0.03753724043026807,0.0011472127406157995,,,80.0,,24.0,0.9965422627199976,1.0003237792662922,,,,,,nanoprobe_solved_continuation,1.25,100.0,,30.0
1.155492998975228,1.2,,0.0,0.0,,,,,,0.0,0.0,,,100.0,,30.0,1.0,1.0,,,,,,nanoprobe_solved_continuation,1.2,120.0,,36.0
1.1402386431271336,1.1666666666666667,,0.0,0.0,,,,,,0.0,0.0,,,120.0,,36.0,1.0,1.0,,,,,,nanoprobe_solved_continuation,1.1666666666666667,140.0,,42.0
1.1862813843338917,1.1428571428571428,,-0.05087769636043973,0.0016351738946630335,,,,,,-0.16959232120146575,0.005450579648876778,,,140.0,,42.0,0.9843238246376724,1.0015378258987018,,,,,,nanoprobe_solved_continuation,1.1428571428571428,160.0,,48.0
1.094946830928917,1.125,,0.0,0.0,,,,,,0.0,0.0,,,160.0,,48.0,1.0,1.0,,,,,,nanoprobe_solved_continuation,1.125,180.0,,54.0
1.1464294880176,1.1111111111111112,,-0.09624431721002935,0.00283820386587319,,,,,,-0.3208143907000978,0.009460679552910634,,,180.0,,54.0,0.9698734241649861,1.0026651364963122,,,,,,nanoprobe_solved_continuation,1.1111111111111112,200.0,,60.0
,,lm,,,-0.5889475958911916,-2.85857715599553,0.00043282365609445983,63.16970642467096,6.434587074164768,,,,1.0,,10.0,,,,0.9579700745044368,0.043638390157438214,,3.039532184038497,2.486882472418257,image_magnification,10.0,,100.0,
,,lm,,,3.8486625481964793,27.97973802397344,-0.00038218947408356983,-28.099793830960607,51.77585466999839,,,,1.0,,100.0,,,,1.2867080308442507,215.50980031874687,0.11698570837782385,0.701518037442096,5.810918224651236,image_magnification,10.0,,1000.0,
,,normal,,,4.438192200617252,-6.87682728482613,-0.014332063620724256,14.625108630748002,16.024016026880442,,,,1.0,,10000.0,,,,1.1524255019069494,0.017467350102567197,0.9994209984393553,1.2268199177846986,1.5013114343995366,image_magnification,10.0,,100000.0,
,,normal,,,0.07364680613875407,28.518174945030303,0.005079745070169395,13.125227671067123,28.22120579879254,,,,1.0,,100000.0,,,,1.0021947880408115,234.26714713537723,1.0002053356959446,1.165923582186942,1.5880862337905002,image_magnification,10.0,,1000000.0,
